kernels_per_second	srr
0.000000000000000000e+00	4.008077338046828891e-02
4.684746607905172944e+00	4.035952905623778064e-01
9.369493215810345887e+00	7.530398347309897877e-01
1.405423982371551972e+01	1.043010351680423886e+00
1.873898643162069177e+01	1.297478338816740129e+00
2.342373303952586383e+01	1.526671186877301301e+00
2.810847964743103944e+01	1.736113244608829875e+00
3.279322625533620794e+01	1.929357051417540658e+00
3.747797286324138355e+01	2.109427577346855376e+00
4.216271947114655916e+01	2.278107651341252815e+00
4.684746607905172766e+01	2.436938113734117284e+00
5.153221268695690327e+01	2.586826872211927419e+00
5.621695929486207888e+01	2.728552929422289886e+00
6.090170590276724738e+01	2.863014607946149148e+00
6.558645251067241588e+01	2.990943281139391896e+00
7.027119911857759860e+01	3.113238348250011445e+00
7.495594572648276710e+01	3.229923737635771452e+00
7.964069233438793560e+01	3.341759354982830832e+00
8.432543894229311832e+01	3.449001148985753495e+00
8.901018555019828682e+01	3.551895985592217642e+00
9.369493215810345532e+01	3.650904716069479417e+00
9.837967876600863804e+01	3.746399557326316021e+00
1.030644253739138065e+02	3.838683774118633707e+00
1.077491719818189750e+02	3.927928230303673107e+00
1.124339185897241578e+02	4.014256598960843192e+00
1.171186651976293263e+02	4.097925729986603649e+00
1.218034118055344948e+02	4.179067126260635590e+00
1.264881584134396633e+02	4.258020098120644192e+00
1.311729050213448318e+02	4.334772589872531334e+00
1.358576516292500287e+02	4.409346164422554004e+00
1.405423982371551972e+02	4.481881062816088779e+00
1.452271448450603657e+02	4.552646219045760390e+00
1.499118914529655342e+02	4.621763808246116767e+00
1.545966380608707027e+02	4.689164243638050067e+00
1.592813846687758712e+02	4.755085559567067577e+00
1.639661312766810397e+02	4.819427158804407973e+00
1.686508778845862366e+02	4.882274822556708749e+00
1.733356244924914051e+02	4.943953666238988021e+00
1.780203711003965736e+02	5.004267678249372686e+00
1.827051177083017421e+02	5.063439958013953301e+00
1.873898643162069106e+02	5.121444655750101660e+00
1.920746109241120791e+02	5.178281541043839198e+00
1.967593575320172761e+02	5.234039949074701603e+00
2.014441041399224446e+02	5.288886667284009135e+00
2.061288507478276131e+02	5.342664629340381666e+00
2.108135973557327816e+02	5.395576492520648415e+00
2.154983439636379501e+02	5.447615094007058012e+00
2.201830905715431186e+02	5.498721586810810358e+00
2.248678371794483155e+02	5.549063451848959438e+00
2.295525837873534556e+02	5.598537819985281772e+00
