wav_path	per
G:\RP\TIMIT16kHz\TEST\DR1\FAKS0\SA1.WAV	0.07317073170731707
G:\RP\TIMIT16kHz\TEST\DR1\FAKS0\SA2.WAV	0.08823529411764706
G:\RP\TIMIT16kHz\TEST\DR1\FAKS0\SI1573.WAV	0.13333333333333333
G:\RP\TIMIT16kHz\TEST\DR1\FAKS0\SI2203.WAV	0.125
G:\RP\TIMIT16kHz\TEST\DR1\FAKS0\SI943.WAV	0.20512820512820512
G:\RP\TIMIT16kHz\TEST\DR1\FAKS0\SX133.WAV	0.07894736842105263
G:\RP\TIMIT16kHz\TEST\DR1\FAKS0\SX223.WAV	0.0625
G:\RP\TIMIT16kHz\TEST\DR1\FAKS0\SX313.WAV	0.08108108108108109
G:\RP\TIMIT16kHz\TEST\DR1\FAKS0\SX403.WAV	0.025
G:\RP\TIMIT16kHz\TEST\DR1\FAKS0\SX43.WAV	0.14285714285714285
G:\RP\TIMIT16kHz\TEST\DR1\FDAC1\SA1.WAV	0.1
G:\RP\TIMIT16kHz\TEST\DR1\FDAC1\SA2.WAV	0.12121212121212122
G:\RP\TIMIT16kHz\TEST\DR1\FDAC1\SI1474.WAV	0.05405405405405406
G:\RP\TIMIT16kHz\TEST\DR1\FDAC1\SI2104.WAV	0.24242424242424243
G:\RP\TIMIT16kHz\TEST\DR1\FDAC1\SI844.WAV	0.15492957746478872
G:\RP\TIMIT16kHz\TEST\DR1\FDAC1\SX124.WAV	0.2903225806451613
G:\RP\TIMIT16kHz\TEST\DR1\FDAC1\SX214.WAV	0.2
G:\RP\TIMIT16kHz\TEST\DR1\FDAC1\SX304.WAV	0.08823529411764706
G:\RP\TIMIT16kHz\TEST\DR1\FDAC1\SX34.WAV	0.08
G:\RP\TIMIT16kHz\TEST\DR1\FDAC1\SX394.WAV	0.06666666666666667
G:\RP\TIMIT16kHz\TEST\DR1\FELC0\SA1.WAV	0.023809523809523808
G:\RP\TIMIT16kHz\TEST\DR1\FELC0\SA2.WAV	0.08108108108108109
G:\RP\TIMIT16kHz\TEST\DR1\FELC0\SI1386.WAV	0.14705882352941177
G:\RP\TIMIT16kHz\TEST\DR1\FELC0\SI2016.WAV	0.08823529411764706
G:\RP\TIMIT16kHz\TEST\DR1\FELC0\SI756.WAV	0.1111111111111111
G:\RP\TIMIT16kHz\TEST\DR1\FELC0\SX126.WAV	0.06666666666666667
G:\RP\TIMIT16kHz\TEST\DR1\FELC0\SX216.WAV	0.06896551724137931
G:\RP\TIMIT16kHz\TEST\DR1\FELC0\SX306.WAV	0.06896551724137931
G:\RP\TIMIT16kHz\TEST\DR1\FELC0\SX36.WAV	0.10638297872340426
G:\RP\TIMIT16kHz\TEST\DR1\FELC0\SX396.WAV	0.09803921568627451
G:\RP\TIMIT16kHz\TEST\DR1\FJEM0\SA1.WAV	0.04878048780487805
G:\RP\TIMIT16kHz\TEST\DR1\FJEM0\SA2.WAV	0.02857142857142857
G:\RP\TIMIT16kHz\TEST\DR1\FJEM0\SI1264.WAV	0.1
G:\RP\TIMIT16kHz\TEST\DR1\FJEM0\SI1894.WAV	0.06060606060606061
G:\RP\TIMIT16kHz\TEST\DR1\FJEM0\SI634.WAV	0.12280701754385964
G:\RP\TIMIT16kHz\TEST\DR1\FJEM0\SX184.WAV	0.17857142857142858
G:\RP\TIMIT16kHz\TEST\DR1\FJEM0\SX274.WAV	0.1935483870967742
G:\RP\TIMIT16kHz\TEST\DR1\FJEM0\SX364.WAV	0.12121212121212122
G:\RP\TIMIT16kHz\TEST\DR1\FJEM0\SX4.WAV	0.03333333333333333
G:\RP\TIMIT16kHz\TEST\DR1\FJEM0\SX94.WAV	0.02857142857142857
G:\RP\TIMIT16kHz\TEST\DR1\MDAB0\SA1.WAV	0.1794871794871795
G:\RP\TIMIT16kHz\TEST\DR1\MDAB0\SA2.WAV	0.09090909090909091
G:\RP\TIMIT16kHz\TEST\DR1\MDAB0\SI1039.WAV	0.17857142857142858
G:\RP\TIMIT16kHz\TEST\DR1\MDAB0\SI1669.WAV	0.09375
G:\RP\TIMIT16kHz\TEST\DR1\MDAB0\SI2299.WAV	0.175
G:\RP\TIMIT16kHz\TEST\DR1\MDAB0\SX139.WAV	0.225
G:\RP\TIMIT16kHz\TEST\DR1\MDAB0\SX229.WAV	0.28
G:\RP\TIMIT16kHz\TEST\DR1\MDAB0\SX319.WAV	0.10810810810810811
G:\RP\TIMIT16kHz\TEST\DR1\MDAB0\SX409.WAV	0.16326530612244897
G:\RP\TIMIT16kHz\TEST\DR1\MDAB0\SX49.WAV	0.19444444444444445
