kernels_per_second	srr
0.000000000000000000e+00	3.030870886778967363e-02
9.695646460664502087e+00	5.859944420848626212e-01
1.939129292132900417e+01	9.939609606393690067e-01
2.908693938199350626e+01	1.314032786644377504e+00
3.878258584265800835e+01	1.582604464494281604e+00
4.847823230332251399e+01	1.817840108051281156e+00
5.817387876398701252e+01	2.027998612125381683e+00
6.786952522465151105e+01	2.218811282079371061e+00
7.756517168531601669e+01	2.394794030006829555e+00
8.726081814598052233e+01	2.558246342318664102e+00
9.695646460664502797e+01	2.710809332941507499e+00
1.066521110673095194e+02	2.854542038184750830e+00
1.163477575279740250e+02	2.989878077432814862e+00
1.260434039886385307e+02	3.118261471764293802e+00
1.357390504493030221e+02	3.240722001382661421e+00
1.454346969099675277e+02	3.358180333993475042e+00
1.551303433706320334e+02	3.470484438451935549e+00
1.648259898312965390e+02	3.578986527845462007e+00
1.745216362919610447e+02	3.682975213119020097e+00
1.842172827526255503e+02	3.783375945158616194e+00
1.939129292132900559e+02	3.880691138928672235e+00
2.036085756739545332e+02	3.974903308531382073e+00
2.133042221346190388e+02	4.066499016287162149e+00
2.229998685952835444e+02	4.155374361170228070e+00
2.326955150559480501e+02	4.241798966108058622e+00
2.423911615166125557e+02	4.326378694736651376e+00
2.520868079772770614e+02	4.408772856668558227e+00
2.617824544379415670e+02	4.489297953167688426e+00
2.714781008986060442e+02	4.567837934059185478e+00
2.811737473592705783e+02	4.644554047204902503e+00
2.908693938199350555e+02	4.719785435509185056e+00
3.005650402805995896e+02	4.793140787180313112e+00
3.102606867412640668e+02	4.865274040596560212e+00
3.199563332019285440e+02	4.936442265564817689e+00
3.296519796625930780e+02	5.005880756745003879e+00
3.393476261232575553e+02	5.074675474527545305e+00
3.490432725839220893e+02	5.142120482826260996e+00
3.587389190445865665e+02	5.208643185388746488e+00
3.684345655052511006e+02	5.273928325401629813e+00
3.781302119659155778e+02	5.338614224383356976e+00
3.878258584265801119e+02	5.402199920310785330e+00
3.975215048872445891e+02	5.465127761217921432e+00
4.072171513479090663e+02	5.526887071429108289e+00
4.169127978085736004e+02	5.587679359268210355e+00
4.266084442692380776e+02	5.647670193347082090e+00
4.363040907299026117e+02	5.707115913409049668e+00
4.459997371905670889e+02	5.765705130897489816e+00
4.556953836512316229e+02	5.823580216364097950e+00
4.653910301118961002e+02	5.881109850675111161e+00
4.750866765725606342e+02	5.937776515698122815e+00
