wav_path	per
G:\RP\timitsplit\unvoiced\f_MDLH0_SX250_30680_33020.wav	1.0
G:\RP\timitsplit\unvoiced\dcl_MEJS0_SI1870_32520_36960.wav	2.0
G:\RP\timitsplit\unvoiced\s_t_MEJS0_SX250_7400_9400.wav	1.0
G:\RP\timitsplit\unvoiced\ch_MGAG0_SX331_17780_19590.wav	1.0
G:\RP\timitsplit\unvoiced\ch_s_t_MJAI0_SX434_4270_7870.wav	0.3333333333333333
G:\RP\timitsplit\unvoiced\s_MMDM1_SX243_22090_24140.wav	1.0
G:\RP\timitsplit\unvoiced\t_ax-h_pcl_p_MREM0_SI961_16650_20540.wav	0.5
G:\RP\timitsplit\unvoiced\q_p_MSDB0_SX287_10318_12650.wav	1.0
G:\RP\timitsplit\unvoiced\s_MCEW0_SI1442_38662_52320.wav	1.0
G:\RP\timitsplit\unvoiced\pcl_p_MKLR0_SX339_36573_41280.wav	1.0
G:\RP\timitsplit\unvoiced\ax-h_FLJG0_SI2241_30033_35120.wav	2.0
G:\RP\timitsplit\unvoiced\ch_MHBS0_SX405_34290_38960.wav	1.0
G:\RP\timitsplit\unvoiced\s_kcl_k_MAEB0_SX90_18130_21305.wav	0.0
G:\RP\timitsplit\unvoiced\s_k_MLNS0_SX417_34040_36970.wav	0.5
G:\RP\timitsplit\unvoiced\kcl_k_s_hh_MMDG0_SX340_4200_7394.wav	0.25
G:\RP\timitsplit\unvoiced\s_pcl_p_MDAC0_SX361_4360_7320.wav	0.0
G:\RP\timitsplit\unvoiced\pcl_p_MWSB0_SX276_14520_16120.wav	1.0
G:\RP\timitsplit\unvoiced\kcl_s_t_FCJF0_SI648_51320_57760.wav	0.6666666666666666
G:\RP\timitsplit\unvoiced\pcl_p_FJRB0_SX222_16878_18934.wav	1.0
G:\RP\timitsplit\unvoiced\kcl_k_FKAA0_SX218_27963_30760.wav	1.0
G:\RP\timitsplit\unvoiced\ax-h_kcl_k_FMKC0_SX352_2385_5470.wav	0.6666666666666666
G:\RP\timitsplit\unvoiced\kcl_k_s_q_FSCN0_SI626_8120_15193.wav	0.75
