kernels_per_second	srr
0.000000000000000000e+00	4.632145233274557322e-02
4.299292773077532104e+00	4.094831302807901974e-01
8.598585546155064208e+00	7.636201409218550396e-01
1.289787831923259631e+01	1.052348986125425379e+00
1.719717109231012842e+01	1.303320345903550947e+00
2.149646386538766052e+01	1.526623127711836281e+00
2.579575663846519262e+01	1.729239937769419422e+00
3.009504941154272473e+01	1.915390481259596100e+00
3.439434218462025683e+01	2.088070326607782690e+00
3.869363495769778893e+01	2.249139720574811374e+00
4.299292773077532104e+01	2.399987908377831047e+00
4.729222050385285314e+01	2.541835835809458821e+00
5.159151327693038525e+01	2.675715796408717484e+00
5.589080605000791735e+01	2.802647964854181772e+00
6.019009882308544945e+01	2.923094551638151462e+00
6.448939159616298866e+01	3.037712920911365799e+00
6.878868436924051366e+01	3.147049958965402183e+00
7.308797714231803866e+01	3.251553566682336971e+00
7.738726991539557787e+01	3.351603857025506006e+00
8.168656268847311708e+01	3.447891208205249303e+00
8.598585546155064208e+01	3.540373971707439615e+00
9.028514823462816707e+01	3.629484149669794935e+00
9.458444100770570628e+01	3.715487296933906780e+00
9.888373378078324549e+01	3.798816594364283539e+00
1.031830265538607705e+02	3.879385737550545166e+00
1.074823193269382955e+02	3.957544080428933686e+00
1.117816121000158347e+02	4.033242127924109077e+00
1.160809048730933739e+02	4.106868976078963840e+00
1.203801976461708989e+02	4.178332204940346628e+00
1.246794904192484239e+02	4.248114375684483690e+00
1.289787831923259773e+02	4.316076614745071538e+00
1.332780759654035023e+02	4.382255570287825641e+00
1.375773687384810273e+02	4.446667903912691955e+00
1.418766615115585523e+02	4.509818292392794525e+00
1.461759542846360773e+02	4.571389490500823882e+00
1.504752470577136307e+02	4.631634410485909292e+00
1.547745398307911557e+02	4.690505888882251284e+00
1.590738326038686807e+02	4.748075521693170487e+00
1.633731253769462342e+02	4.804400996810172408e+00
1.676724181500237592e+02	4.859540479819627556e+00
1.719717109231012842e+02	4.913545729021087993e+00
1.762710036961788092e+02	4.966654113201373733e+00
1.805702964692563341e+02	5.018799355213769076e+00
1.848695892423338876e+02	5.069984638161719737e+00
1.891688820154114126e+02	5.120225734245619442e+00
1.934681747884889376e+02	5.169484726130254337e+00
1.977674675615664910e+02	5.217964504441250817e+00
2.020667603346440160e+02	5.265682090252038705e+00
2.063660531077215410e+02	5.312669237198600847e+00
2.106653458807990660e+02	5.358880182060889119e+00
