kernels_per_second	srr
0.000000000000000000e+00	2.181372081973659283e-01
3.774786510348820290e+00	3.248343379045083301e-01
7.549573020697640580e+00	4.652381283492150188e-01
1.132435953104646131e+01	6.001121410819504343e-01
1.509914604139528116e+01	7.299097334487801847e-01
1.887393255174410100e+01	8.549260254439390305e-01
2.264871906209292263e+01	9.751726294120889316e-01
2.642350557244174070e+01	1.090742484342808405e+00
3.019829208279056232e+01	1.201863335778751818e+00
3.397307859313938394e+01	1.308730878903164419e+00
3.774786510348820201e+01	1.411598003455557082e+00
4.152265161383702008e+01	1.510735960195558114e+00
4.529743812418584525e+01	1.606212704174563743e+00
4.907222463453466332e+01	1.698343550427322990e+00
5.284701114488348139e+01	1.787188028036001519e+00
5.662179765523230657e+01	1.873037554606354460e+00
6.039658416558112464e+01	1.955868949987874750e+00
6.417137067592994981e+01	2.035888050118888515e+00
6.794615718627876788e+01	2.113230820275726618e+00
7.172094369662758595e+01	2.187972517433677044e+00
7.549573020697640402e+01	2.260293323008575772e+00
7.927051671732522209e+01	2.330442378933519354e+00
8.304530322767404016e+01	2.398464996339050082e+00
8.682008973802287244e+01	2.464419508132926762e+00
9.059487624837169051e+01	2.528488851098941836e+00
9.436966275872050858e+01	2.590778469840324227e+00
9.814444926906932665e+01	2.651306116181957773e+00
1.019192357794181447e+02	2.710324871033140681e+00
1.056940222897669628e+02	2.767764553901131741e+00
1.094688088001157951e+02	2.823800837675024322e+00
1.132435953104646131e+02	2.878472212423509369e+00
1.170183818208134312e+02	2.931884387104726208e+00
1.207931683311622493e+02	2.984016573558608165e+00
1.245679548415110673e+02	3.034918767674990026e+00
1.283427413518598996e+02	3.084760626180334420e+00
1.321175278622087035e+02	3.133494226056660725e+00
1.358923143725575358e+02	3.181179803030625752e+00
1.396671008829063396e+02	3.227931418114059703e+00
1.434418873932551719e+02	3.273776828726374877e+00
1.472166739036040042e+02	3.318687384205521784e+00
1.509914604139528080e+02	3.362667432862680439e+00
1.547662469243016403e+02	3.405879449008896387e+00
1.585410334346504442e+02	3.448305902262641442e+00
1.623158199449992765e+02	3.489924315124246057e+00
1.660906064553480803e+02	3.530789314290690761e+00
1.698653929656969126e+02	3.570943274856379634e+00
1.736401794760457449e+02	3.610425828318336805e+00
1.774149659863945487e+02	3.649278278689262578e+00
1.811897524967433810e+02	3.687496717572646965e+00
1.849645390070921849e+02	3.725159297189545082e+00
