kernels_per_second	srr
0.000000000000000000e+00	3.737941029917996733e-02
4.058475325662724487e+01	2.101757009330165626e+00
8.116950651325448973e+01	3.214037259628273802e+00
1.217542597698817417e+02	4.009844759128086800e+00
1.623390130265089795e+02	4.627858445545829369e+00
2.029237662831362172e+02	5.138087247915463784e+00
2.435085195397634834e+02	5.572470982696986042e+00
2.840932727963906927e+02	5.954617614583256113e+00
3.246780260530179589e+02	6.299488904725217608e+00
3.652627793096452251e+02	6.611384881769526878e+00
4.058475325662724345e+02	6.896481229584665584e+00
4.464322858228997006e+02	7.159488168213306025e+00
4.870170390795269668e+02	7.404145234584459168e+00
5.276017923361541762e+02	7.633749287195719546e+00
5.681865455927813855e+02	7.848488082433421553e+00
6.087712988494087085e+02	8.051562725273068821e+00
6.493560521060359179e+02	8.244584354648443636e+00
6.899408053626631272e+02	8.427106679637821784e+00
7.305255586192904502e+02	8.601795983111101052e+00
7.711103118759176596e+02	8.768768184359604589e+00
8.116950651325448689e+02	8.927943276100361203e+00
8.522798183891721919e+02	9.079924568573380483e+00
8.928645716457994013e+02	9.226167055278478912e+00
9.334493249024266106e+02	9.366083085135578301e+00
9.740340781590539336e+02	9.501160573862918568e+00
1.014618831415681143e+03	9.631781086491212562e+00
1.055203584672308352e+03	9.757135093326233743e+00
1.095788337928935562e+03	9.878274149758922817e+00
1.136373091185562771e+03	9.995319475728718928e+00
1.176957844442190208e+03	1.010868386795387330e+01
1.217542597698817417e+03	1.021808142958775356e+01
1.258127350955444626e+03	1.032369056413704911e+01
1.298712104212071836e+03	1.042618735678602171e+01
1.339296857468699045e+03	1.052589253295925786e+01
1.379881610725326254e+03	1.062223116745386342e+01
1.420466363981953464e+03	1.071622978408439053e+01
1.461051117238580900e+03	1.080724562553512058e+01
1.501635870495208110e+03	1.089548251506381860e+01
1.542220623751835319e+03	1.098141159784680099e+01
1.582805377008462528e+03	1.106524259647319042e+01
1.623390130265089738e+03	1.114649114977977540e+01
1.663974883521716947e+03	1.122586377583125028e+01
1.704559636778344384e+03	1.130329876525235733e+01
1.745144390034971593e+03	1.137762491264081000e+01
1.785729143291598803e+03	1.145040155003155213e+01
1.826313896548226012e+03	1.152137411526398481e+01
1.866898649804853221e+03	1.159035148479834731e+01
1.907483403061480431e+03	1.165715316455100847e+01
1.948068156318107867e+03	1.172303166999825130e+01
1.988652909574735077e+03	1.178678267574279914e+01
