kernels_per_second	srr
0.000000000000000000e+00	3.740483732763042607e-02
1.963762851418884736e+01	1.271178223430024401e+00
3.927525702837769472e+01	2.058523883690124290e+00
5.891288554256654209e+01	2.660935524410807052e+00
7.855051405675538945e+01	3.156969558448951219e+00
9.818814257094423681e+01	3.579459770649580541e+00
1.178257710851330842e+02	3.947091443974775071e+00
1.374633995993219173e+02	4.271284178435725387e+00
1.571010281135107789e+02	4.562603465975134220e+00
1.767386566276996405e+02	4.828121568207117242e+00
1.963762851418884736e+02	5.071632263003499119e+00
2.160139136560773068e+02	5.296229846696322241e+00
2.356515421702661683e+02	5.505590273318307304e+00
2.552891706844550299e+02	5.702128919078708336e+00
2.749267991986438346e+02	5.887814016768359693e+00
2.945644277128326962e+02	6.063742029942971179e+00
3.142020562270215578e+02	6.231207626508338926e+00
3.338396847412104194e+02	6.390913281374534627e+00
3.534773132553992809e+02	6.543269760616533759e+00
3.731149417695880857e+02	6.689278665008990821e+00
3.927525702837769472e+02	6.829472187659747284e+00
4.123901987979658088e+02	6.963321977549575159e+00
4.320278273121546135e+02	7.092838494879757150e+00
4.516654558263434751e+02	7.217593436591330125e+00
4.713030843405323367e+02	7.338588462782157151e+00
4.909407128547211983e+02	7.455744654470358057e+00
5.105783413689100598e+02	7.569294602215400403e+00
5.302159698830988646e+02	7.680052590402320689e+00
5.498535983972876693e+02	7.787252650953516486e+00
5.694912269114765877e+02	7.891626791278220310e+00
5.891288554256653924e+02	7.992453761625666786e+00
6.087664839398543108e+02	8.091232018171327312e+00
6.284041124540431156e+02	8.187496681706944557e+00
6.480417409682319203e+02	8.281422163224339883e+00
6.676793694824208387e+02	8.372583966052440374e+00
6.873169979966096435e+02	8.461894965833307580e+00
7.069546265107985619e+02	8.549420396892244867e+00
7.265922550249873666e+02	8.635042278939964788e+00
7.462298835391761713e+02	8.718366812106857822e+00
7.658675120533650897e+02	8.800093655857944341e+00
7.855051405675538945e+02	8.880316325013115630e+00
8.051427690817426992e+02	8.959116652992562990e+00
8.247803975959316176e+02	9.036098046475043333e+00
8.444180261101204223e+02	9.111764302056226228e+00
8.640556546243092271e+02	9.185709122002363003e+00
8.836932831384981455e+02	9.258191152111910682e+00
9.033309116526869502e+02	9.329415569551054332e+00
9.229685401668758686e+02	9.399291127634993970e+00
9.426061686810646734e+02	9.468026692448098913e+00
9.622437971952535918e+02	9.534955886400036107e+00
