kernels_per_second	srr
0.000000000000000000e+00	3.567771067791123407e-01
6.358921367962959703e-01	3.567771067791123407e-01
1.271784273592591941e+00	3.622922844967541578e-01
1.907676410388887911e+00	3.751817028468013016e-01
2.543568547185183881e+00	3.880364650798965309e-01
3.179460683981480074e+00	4.008360062780801369e-01
3.815352820777775822e+00	4.135673578213557300e-01
4.451244957574071570e+00	4.262211979569963116e-01
5.087137094370367763e+00	4.388006679107705477e-01
5.723029231166663955e+00	4.512989849107120754e-01
6.358921367962960147e+00	4.637005151387466606e-01
6.994813504759255451e+00	4.759817147191056086e-01
7.630705641555551644e+00	4.881215903118848454e-01
8.266597778351847836e+00	5.000518992293975229e-01
8.902489915148143140e+00	5.117592496986009820e-01
9.538382051944440221e+00	5.232674691511862708e-01
1.017427418874073553e+01	5.345880284818391726e-01
1.081016632553703083e+01	5.457203170622682009e-01
1.144605846233332791e+01	5.566888167933782272e-01
1.208195059912962321e+01	5.675038238216915110e-01
1.271784273592592029e+01	5.781838818199329655e-01
1.335373487272221560e+01	5.887265140436475086e-01
1.398962700951851090e+01	5.991408946804474001e-01
1.462551914631480798e+01	6.094186225272166801e-01
1.526141128311110329e+01	6.195677868276114886e-01
1.589730341990739859e+01	6.295880871391600353e-01
1.653319555670369567e+01	6.394966710766758489e-01
1.716908769349999275e+01	6.492874283204216335e-01
1.780497983029628628e+01	6.589666428340296145e-01
1.844087196709258336e+01	6.685278137667300946e-01
1.907676410388888044e+01	6.779833389357481366e-01
1.971265624068517397e+01	6.873447007946892340e-01
2.034854837748147105e+01	6.966086779401865492e-01
2.098444051427776813e+01	7.057786715830612900e-01
2.162033265107406166e+01	7.148510362149570474e-01
2.225622478787035874e+01	7.238290309513176757e-01
2.289211692466665582e+01	7.327136086943275561e-01
2.352800906146294935e+01	7.415205664713890865e-01
2.416390119825924643e+01	7.502427809412310911e-01
2.479979333505554351e+01	7.588829871452518194e-01
2.543568547185184059e+01	7.674462705218770830e-01
2.607157760864813412e+01	7.759355752930182648e-01
2.670746974544443120e+01	7.843359209187900083e-01
2.734336188224072828e+01	7.926625894662890914e-01
2.797925401903702181e+01	8.009143501027172762e-01
2.861514615583331889e+01	8.090908039291994092e-01
2.925103829262961597e+01	8.171942272921277617e-01
2.988693042942590949e+01	8.252312206705306741e-01
3.052282256622220658e+01	8.331840797419968192e-01
3.115871470301850010e+01	8.410756512562108655e-01
