kernels_per_second	srr
0.000000000000000000e+00	2.100036665142049896e-01
1.515223258677020679e+00	2.286443599071960597e-01
3.030446517354041358e+00	2.832033198729859702e-01
4.545669776031061815e+00	3.371569583273459347e-01
6.060893034708082716e+00	3.904566476089966209e-01
7.576116293385103617e+00	4.430619767894079519e-01
9.091339552062123630e+00	4.950372546264108498e-01
1.060656281073914542e+01	5.464187544284070386e-01
1.212178606941616543e+01	5.972177113017099748e-01
1.363700932809318545e+01	6.474166002118461050e-01
1.515223258677020723e+01	6.970048455474937565e-01
1.666745584544722902e+01	7.460102853799428502e-01
1.818267910412424726e+01	7.943934752860385418e-01
1.969790236280126905e+01	8.421859781207141626e-01
2.121312562147829084e+01	8.893964816448164390e-01
2.272834888015530908e+01	9.360740967382883415e-01
2.424357213883233086e+01	9.822266260248239123e-01
2.575879539750935265e+01	1.027815547634405968e+00
2.727401865618637089e+01	1.072824481299902821e+00
2.878924191486339268e+01	1.117308749386740852e+00
3.030446517354041447e+01	1.161259058551531442e+00
3.181968843221743271e+01	1.204685509364907814e+00
3.333491169089445805e+01	1.247568428852527944e+00
3.485013494957147628e+01	1.289936669903389843e+00
3.636535820824849452e+01	1.331778761530109323e+00
3.788058146692551986e+01	1.373124815534932486e+00
3.939580472560253810e+01	1.413970934372553057e+00
4.091102798427955634e+01	1.454360236121634342e+00
4.242625124295658168e+01	1.494242745130659689e+00
4.394147450163359991e+01	1.533619613245732038e+00
4.545669776031061815e+01	1.572542607930753400e+00
4.697192101898764349e+01	1.610985734723240581e+00
4.848714427766466173e+01	1.648955325882774492e+00
5.000236753634167997e+01	1.686444188164667679e+00
5.151759079501870531e+01	1.723478115014178691e+00
5.303281405369572354e+01	1.760041190624255236e+00
5.454803731237274178e+01	1.796168406897369785e+00
5.606326057104976712e+01	1.831867019331514745e+00
5.757848382972678536e+01	1.867131920320671989e+00
5.909370708840380360e+01	1.902005797426540745e+00
6.060893034708082894e+01	1.936454027913997455e+00
6.212415360575784717e+01	1.970459721621487192e+00
6.363937686443486541e+01	2.004073343745865987e+00
6.515460012311189075e+01	2.037296491399498866e+00
6.666982338178891609e+01	2.070124849118343047e+00
6.818504664046592723e+01	2.102558673246638143e+00
6.970026989914295257e+01	2.134560431110064549e+00
7.121549315781997791e+01	2.166181269716815905e+00
7.273071641649698904e+01	2.197447941628178913e+00
7.424593967517401438e+01	2.228324233762664974e+00
