kernels_per_second	srr
0.000000000000000000e+00	3.030942708860400944e-02
9.695646460664502087e+00	5.859951603056750002e-01
1.939129292132900417e+01	9.939616788601871589e-01
2.908693938199350626e+01	1.314033504865188773e+00
3.878258584265800835e+01	1.582605182715095093e+00
4.847823230332251399e+01	1.817840826272093757e+00
5.817387876398701252e+01	2.027999330346193396e+00
6.786952522465151105e+01	2.218812000300182330e+00
7.756517168531601669e+01	2.394794748227649706e+00
8.726081814598052233e+01	2.558247060539483364e+00
9.695646460664502797e+01	2.710810051162320100e+00
1.066521110673095194e+02	2.854542756405565207e+00
1.163477575279740250e+02	2.989878795653631016e+00
1.260434039886385307e+02	3.118262189985105515e+00
1.357390504493030221e+02	3.240722719603476243e+00
1.454346969099675277e+02	3.358181052214284534e+00
1.551303433706320334e+02	3.470485156672750371e+00
1.648259898312965390e+02	3.578987246066286154e+00
1.745216362919610447e+02	3.682975931339835807e+00
1.842172827526255503e+02	3.783376663379435012e+00
1.939129292132900559e+02	3.880691857149483504e+00
2.036085756739545332e+02	3.974904026752200004e+00
2.133042221346190388e+02	4.066499734507980968e+00
2.229998685952835444e+02	4.155375079391037119e+00
2.326955150559480501e+02	4.241799684328875664e+00
2.423911615166125557e+02	4.326379412957476411e+00
2.520868079772770614e+02	4.408773574889367275e+00
2.617824544379415670e+02	4.489298671388490369e+00
2.714781008986060442e+02	4.567838652279998968e+00
2.811737473592705783e+02	4.644554765425724874e+00
2.908693938199350555e+02	4.719786153730005651e+00
3.005650402805995896e+02	4.793141505401126601e+00
3.102606867412640668e+02	4.865274758817371037e+00
3.199563332019285440e+02	4.936442983785643612e+00
3.296519796625930780e+02	5.005881474965824474e+00
3.393476261232575553e+02	5.074676192748359682e+00
3.490432725839220893e+02	5.142121201047070933e+00
3.587389190445865665e+02	5.208643903609548431e+00
3.684345655052511006e+02	5.273929043622453072e+00
3.781302119659155778e+02	5.338614942604154479e+00
3.878258584265801119e+02	5.402200638531598820e+00
3.975215048872445891e+02	5.465128479438730480e+00
4.072171513479090663e+02	5.526887789649928884e+00
4.169127978085736004e+02	5.587680077489026509e+00
4.266084442692380776e+02	5.647670911567892915e+00
4.363040907299026117e+02	5.707116631629875592e+00
4.459997371905670889e+02	5.765705849118301529e+00
4.556953836512316229e+02	5.823580934584894564e+00
4.653910301118961002e+02	5.881110568895917545e+00
4.750866765725606342e+02	5.937777233918930975e+00
