kernels_per_second	srr
0.000000000000000000e+00	2.594603567945799952e-02
6.406214333800288330e+01	1.932327159811811912e+00
1.281242866760057666e+02	2.801729551920412842e+00
1.921864300140086357e+02	3.400151157757338005e+00
2.562485733520115332e+02	3.861406805295652500e+00
3.203107166900144307e+02	4.242642278590616378e+00
3.843728600280172714e+02	4.570235890032031456e+00
4.484350033660201689e+02	4.855663852950591775e+00
5.124971467040230664e+02	5.116457356301526538e+00
5.765592900420259639e+02	5.358310902030564371e+00
6.406214333800288614e+02	5.581262615378197900e+00
7.046835767180317589e+02	5.790587587324352192e+00
7.687457200560345427e+02	5.985384316141077576e+00
8.328078633940374402e+02	6.171378797522433679e+00
8.968700067320403377e+02	6.351431554265156265e+00
9.609321500700432352e+02	6.526091301707229952e+00
1.024994293408046133e+03	6.693958690683479595e+00
1.089056436746049030e+03	6.862346163213443262e+00
1.153118580084051928e+03	7.023266972464980107e+00
1.217180723422054825e+03	7.183956341029379189e+00
1.281242866760057723e+03	7.338895391934103785e+00
1.345305010098060620e+03	7.493511459894337534e+00
1.409367153436063518e+03	7.645893849227809014e+00
1.473429296774066415e+03	7.799336980834591593e+00
1.537491440112069085e+03	7.950011415710604545e+00
1.601553583450071983e+03	8.102984684747314148e+00
1.665615726788074880e+03	8.253095537310217722e+00
1.729677870126077778e+03	8.402148636933013393e+00
1.793740013464080675e+03	8.553929750628862294e+00
1.857802156802083573e+03	8.704662330898813138e+00
1.921864300140086470e+03	8.853500889027063891e+00
1.985926443478089368e+03	9.003421154854731157e+00
2.049988586816092266e+03	9.151489001085943542e+00
2.114050730154095163e+03	9.302268962401628372e+00
2.178112873492098061e+03	9.449295923411179743e+00
2.242175016830100958e+03	9.597750527321823100e+00
2.306237160168103856e+03	9.745554939253290527e+00
2.370299303506106753e+03	9.894268755568717211e+00
2.434361446844109651e+03	1.004175141814995342e+01
2.498423590182112548e+03	1.018971392627141448e+01
2.562485733520115446e+03	1.033814361869668552e+01
2.626547876858118343e+03	1.048558199643523636e+01
2.690610020196121241e+03	1.063194507403159683e+01
2.754672163534124138e+03	1.077920831060324680e+01
2.818734306872127036e+03	1.092314430325274621e+01
2.882796450210129933e+03	1.106880625522046380e+01
2.946858593548132831e+03	1.121332550734162936e+01
3.010920736886135728e+03	1.136028141614762177e+01
3.074982880224138171e+03	1.150436420089665646e+01
3.139045023562141523e+03	1.164590048967548164e+01
