kernels_per_second	srr
0.000000000000000000e+00	2.681098732695105097e-02
2.930117712218595472e+01	1.231497943450046373e+00
5.860235424437190943e+01	1.909212297510718193e+00
8.790353136655787125e+01	2.413526114522450250e+00
1.172047084887438189e+02	2.823752994062250554e+00
1.465058856109297665e+02	3.174357348407434998e+00
1.758070627331157425e+02	3.482359285274192473e+00
2.051082398553016901e+02	3.757894699832121432e+00
2.344094169774876377e+02	4.009020800000898888e+00
2.637105940996735853e+02	4.238826064147302120e+00
2.930117712218595329e+02	4.453504413984574306e+00
3.223129483440454806e+02	4.652710852785713946e+00
3.516141254662314850e+02	4.845923365286039619e+00
3.809153025884174326e+02	5.029047511602159126e+00
4.102164797106033802e+02	5.201875600316706816e+00
4.395176568327893278e+02	5.368860249536666629e+00
4.688188339549752754e+02	5.528298734864449671e+00
4.981200110771612231e+02	5.681042170336288777e+00
5.274211881993471707e+02	5.830002335133125158e+00
5.567223653215331751e+02	5.976466369595208050e+00
5.860235424437190659e+02	6.115551416255914141e+00
6.153247195659050703e+02	6.253323828806458096e+00
6.446258966880909611e+02	6.387518941276716156e+00
6.739270738102769656e+02	6.516892986316642933e+00
7.032282509324629700e+02	6.644076330563678745e+00
7.325294280546488608e+02	6.769769021711290691e+00
7.618306051768348652e+02	6.893317817863661823e+00
7.911317822990207560e+02	7.014727771468868056e+00
8.204329594212067605e+02	7.134912995334262931e+00
8.497341365433926512e+02	7.251005774183591157e+00
8.790353136655786557e+02	7.367407304521590206e+00
9.083364907877645464e+02	7.484922528654633922e+00
9.376376679099505509e+02	7.597422383551831082e+00
9.669388450321365553e+02	7.709703490874783682e+00
9.962400221543224461e+02	7.822300052465690712e+00
1.025541199276508451e+03	7.932847444539010695e+00
1.054842376398694341e+03	8.040684262684044015e+00
1.084143553520880232e+03	8.146650688673163998e+00
1.113444730643066350e+03	8.253249903407661847e+00
1.142745907765252241e+03	8.360822251609535627e+00
1.172047084887438132e+03	8.463705274505361587e+00
1.201348262009624250e+03	8.566520108663524979e+00
1.230649439131810141e+03	8.667171312376535042e+00
1.259950616253996031e+03	8.767828752644515333e+00
1.289251793376181922e+03	8.868442643635402689e+00
1.318552970498368040e+03	8.968094175897341813e+00
1.347854147620553931e+03	9.065864155736560903e+00
1.377155324742739822e+03	9.163967126511993300e+00
1.406456501864925940e+03	9.261152071019033372e+00
1.435757678987111831e+03	9.357264393892590348e+00
