kernels_per_second	srr
0.000000000000000000e+00	3.310123249193083206e-01
3.463203463203463617e+00	3.782352726592155268e-01
6.926406926406927234e+00	4.431184673069064051e-01
1.038961038961039129e+01	5.040649181172389692e-01
1.385281385281385447e+01	5.604123102849920546e-01
1.731601731601731942e+01	6.131915381073225202e-01
2.077922077922078259e+01	6.631216462758207086e-01
2.424242424242424576e+01	7.106221521116807827e-01
2.770562770562770893e+01	7.559787147375011118e-01
3.116883116883117211e+01	7.994469995062435386e-01
3.463203463203463883e+01	8.413892782160526940e-01
3.809523809523810201e+01	8.818587534971157327e-01
4.155844155844156518e+01	9.209879025420977250e-01
4.502164502164502835e+01	9.589050294068953706e-01
4.848484848484849152e+01	9.957744373094091772e-01
5.194805194805195470e+01	1.031675843307809037e+00
5.541125541125541787e+01	1.066609858535205957e+00
5.887445887445888104e+01	1.100674415002287798e+00
6.233766233766234421e+01	1.133970718626812646e+00
6.580086580086580739e+01	1.166611496886014399e+00
6.926406926406927766e+01	1.198583851683964641e+00
7.272727272727273373e+01	1.229887437503916825e+00
7.619047619047620401e+01	1.260512222005689464e+00
7.965367965367966008e+01	1.290596145251956095e+00
8.311688311688313036e+01	1.320140971170711053e+00
8.658008658008658642e+01	1.349170461305773117e+00
9.004329004329005670e+01	1.377689771985499911e+00
9.350649350649351277e+01	1.405757679442995345e+00
9.696969696969698305e+01	1.433417033991485567e+00
1.004329004329004391e+02	1.460674226471231130e+00
1.038961038961039094e+02	1.487521398865638167e+00
1.073593073593073655e+02	1.513982461054463213e+00
1.108225108225108357e+02	1.540044119319683436e+00
1.142857142857143060e+02	1.565738902333895455e+00
1.177489177489177621e+02	1.591094887888070408e+00
1.212121212121212324e+02	1.616088460572501884e+00
1.246753246753246884e+02	1.640702431152050389e+00
1.281385281385281587e+02	1.664987864196292966e+00
1.316017316017316148e+02	1.688965541434818141e+00
1.350649350649350708e+02	1.712668038657517267e+00
1.385281385281385553e+02	1.736091864644296434e+00
1.419913419913420114e+02	1.759226777817606946e+00
1.454545454545454675e+02	1.782094200426727726e+00
1.489177489177489235e+02	1.804694230486896256e+00
1.523809523809524080e+02	1.827035834445958740e+00
1.558441558441558641e+02	1.849134753255659680e+00
1.593073593073593202e+02	1.870981051869710976e+00
1.627705627705627762e+02	1.892567909609454757e+00
1.662337662337662607e+02	1.913936507436657442e+00
1.696969696969697168e+02	1.935109483585740975e+00
