kernels_per_second	srr
0.000000000000000000e+00	1.461156011272642108e-01
7.258392212754343653e+00	2.993670985017298225e-01
1.451678442550868731e+01	4.641084533818953251e-01
2.177517663826303007e+01	6.163658720301048444e-01
2.903356885101737461e+01	7.582143637046178108e-01
3.629196106377171560e+01	8.907775265565429645e-01
4.355035327652606014e+01	1.015532167951918474e+00
5.080874548928040468e+01	1.133294984090453372e+00
5.806713770203474922e+01	1.245050092725042523e+00
6.532552991478908666e+01	1.351655656522928739e+00
7.258392212754343120e+01	1.453484315986118380e+00
7.984231434029777574e+01	1.550995611327766310e+00
8.710070655305212028e+01	1.644603687911074585e+00
9.435909876580646483e+01	1.734635356675251483e+00
1.016174909785608094e+02	1.821651406024080488e+00
1.088758831913151539e+02	1.905762744555947297e+00
1.161342754040694984e+02	1.986978653787647264e+00
1.233926676168238430e+02	2.065792114663596024e+00
1.306510598295781733e+02	2.142252323115226176e+00
1.379094520423325321e+02	2.216524057026060479e+00
1.451678442550868624e+02	2.288817562305008213e+00
1.524262364678412212e+02	2.359143992137027190e+00
1.596846286805955515e+02	2.427524627867872375e+00
1.669430208933499102e+02	2.494232883170020898e+00
1.742014131061042406e+02	2.559233227748439088e+00
1.814598053188585993e+02	2.622743465142425290e+00
1.887181975316129297e+02	2.684676486866834910e+00
1.959765897443672884e+02	2.745368078097779829e+00
2.032349819571216187e+02	2.804931868962516450e+00
2.104933741698759775e+02	2.863169461494078138e+00
2.177517663826303078e+02	2.920275209211523837e+00
2.250101585953846666e+02	2.976180839747883944e+00
2.322685508081389969e+02	3.031102381258528933e+00
2.395269430208933272e+02	3.085042432719824923e+00
2.467853352336476860e+02	3.137950874825277570e+00
2.540437274464020163e+02	3.189944538228095094e+00
2.613021196591563466e+02	3.241225020429943982e+00
2.685605118719107054e+02	3.291650360203028924e+00
2.758189040846650641e+02	3.341327356628835066e+00
2.830772962974194229e+02	3.390195249220893547e+00
2.903356885101737248e+02	3.438396584272270129e+00
2.975940807229280836e+02	3.485944016368808906e+00
3.048524729356824423e+02	3.532757027084279411e+00
3.121108651484368011e+02	3.578900617321043143e+00
3.193692573611911030e+02	3.624489077508738610e+00
3.266276495739454617e+02	3.669511645857693516e+00
3.338860417866998205e+02	3.713958846519617829e+00
3.411444339994541792e+02	3.757722177015548670e+00
3.484028262122084811e+02	3.801061551046269749e+00
3.556612184249628399e+02	3.843872059321705947e+00
