kernels_per_second	srr
0.000000000000000000e+00	4.542264579675967667e-02
3.823213273862037198e+01	2.100063772650008875e+00
7.646426547724074396e+01	3.164861890402467459e+00
1.146963982158611088e+02	3.922535474616995366e+00
1.529285309544814879e+02	4.514398486991010095e+00
1.911606636931018670e+02	5.002407991973978341e+00
2.293927964317222177e+02	5.418078910135195159e+00
2.676249291703426252e+02	5.781794864706864878e+00
3.058570619089629758e+02	6.107123482991250185e+00
3.440891946475833265e+02	6.402264271164603393e+00
3.823213273862037340e+02	6.671855207914738628e+00
4.205534601248240847e+02	6.920224564970006043e+00
4.587855928634444354e+02	7.151101340670637185e+00
4.970177256020648429e+02	7.367065800786701146e+00
5.352498583406852504e+02	7.570586764061240537e+00
5.734819910793055442e+02	7.763350601870866896e+00
6.117141238179259517e+02	7.945246386446720877e+00
6.499462565565463592e+02	8.119016976960047316e+00
6.881783892951666530e+02	8.285021701309329245e+00
7.264105220337870605e+02	8.444435596001090616e+00
7.646426547724074680e+02	8.597460250339869603e+00
8.028747875110277619e+02	8.744321943112568718e+00
8.411069202496481694e+02	8.885421944570968122e+00
8.793390529882685769e+02	9.022098885180920291e+00
9.175711857268888707e+02	9.155054274537599568e+00
9.558033184655092782e+02	9.282645570343994734e+00
9.940354512041296857e+02	9.406843760806930632e+00
1.032267583942749980e+03	9.526116657117047026e+00
1.070499716681370501e+03	9.643281270887092305e+00
1.108731849419990795e+03	9.756694776459021057e+00
1.146963982158611088e+03	9.867193807684179419e+00
1.185196114897231610e+03	9.974695450632264482e+00
1.223428247635851903e+03	1.007942857527807234e+01
1.261660380374472197e+03	1.018221751913566209e+01
1.299892513113092718e+03	1.028139663319110575e+01
1.338124645851713012e+03	1.037839211683049179e+01
1.376356778590333306e+03	1.047384920623518134e+01
1.414588911328953827e+03	1.056691692156536355e+01
1.452821044067574121e+03	1.065800572175176697e+01
1.491053176806194415e+03	1.074717704301458276e+01
1.529285309544814936e+03	1.083460053450711946e+01
1.567517442283435230e+03	1.092092630810345177e+01
1.605749575022055524e+03	1.100569877430820931e+01
1.643981707760676045e+03	1.108802560400944337e+01
1.682213840499296339e+03	1.116891038627495902e+01
1.720445973237916633e+03	1.124863995184496446e+01
1.758678105976537154e+03	1.132664152072705654e+01
1.796910238715157448e+03	1.140329363372440952e+01
1.835142371453777741e+03	1.147818560773334262e+01
1.873374504192398263e+03	1.155174982774429182e+01
