kernels_per_second	srr
0.000000000000000000e+00	4.543778082752309572e-02
1.896014553362328670e+01	1.314243268328030512e+00
3.792029106724657339e+01	2.089558231277032885e+00
5.688043660086985653e+01	2.673656605392735308e+00
7.584058213449314678e+01	3.150734104793659451e+00
9.480072766811643703e+01	3.556275335151461547e+00
1.137608732017397131e+02	3.907122602878435380e+00
1.327210187353630033e+02	4.218780743810895295e+00
1.516811642689862936e+02	4.498221862781452529e+00
1.706413098026095838e+02	4.753382606467510207e+00
1.896014553362328741e+02	4.986724797155685174e+00
2.085616008698561643e+02	5.201416676873534151e+00
2.275217464034794261e+02	5.401807168490338817e+00
2.464818919371027164e+02	5.589867117224893711e+00
2.654420374707260066e+02	5.767172387704148306e+00
2.844021830043492969e+02	5.934601354954601504e+00
3.033623285379725871e+02	6.092982035031445420e+00
3.223224740715958774e+02	6.244714812416954253e+00
3.412826196052191676e+02	6.389211781593480133e+00
3.602427651388424579e+02	6.526930946657211408e+00
3.792029106724657481e+02	6.659467232197227027e+00
3.981630562060890384e+02	6.786202693833156552e+00
4.171232017397123286e+02	6.908619364481047853e+00
4.360833472733356189e+02	7.027014367668342310e+00
4.550434928069588523e+02	7.140845696120642572e+00
4.740036383405821425e+02	7.251018354719557912e+00
4.929637838742054328e+02	7.357693857562841444e+00
5.119239294078287230e+02	7.461521999364244984e+00
5.308840749414520133e+02	7.563026238720297556e+00
5.498442204750753035e+02	7.661386367220641702e+00
5.688043660086985938e+02	7.757586517301684026e+00
5.877645115423218840e+02	7.850985515908817547e+00
6.067246570759451743e+02	7.941816598844933850e+00
6.256848026095684645e+02	8.030608156237432738e+00
6.446449481431917548e+02	8.117042018714188956e+00
6.636050936768150450e+02	8.202234299735520651e+00
6.825652392104383352e+02	8.285182168213173881e+00
7.015253847440616255e+02	8.366686931900773061e+00
7.204855302776849157e+02	8.446406606970317199e+00
7.394456758113082060e+02	8.524710363928138079e+00
7.584058213449314962e+02	8.601273690278530282e+00
7.773659668785547865e+02	8.676436339202323822e+00
7.963261124121780767e+02	8.750221598796331435e+00
8.152862579458013670e+02	8.823364098378668530e+00
8.342464034794246572e+02	8.894422939239127857e+00
8.532065490130479475e+02	8.964706175456976567e+00
8.721666945466712377e+02	9.033930898741157733e+00
8.911268400802945280e+02	9.101998262054269873e+00
9.100869856139177045e+02	9.168842939560853722e+00
9.290471311475409948e+02	9.234738639678496952e+00
